City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,shubarshi,48.5872,57.1869,32.29,24,42,4.91,KZ,1691504787
221,filadelfia,39.9523,-75.1638,25.09,77,75,6.69,US,1691504564
222,laguna,38.421,-121.4238,20.17,80,0,3.09,US,1691504788
223,sur,22.5667,59.5289,36.46,44,17,5.32,OM,1691504788
224,broome,42.2506,-75.833,21.22,89,100,6.17,US,1691504788
225,southeast arcadia,27.1863,-81.8521,33.38,77,22,0.45,US,1691504788
226,carnarvon,-24.8667,113.6333,19.48,85,27,7.38,AU,1691504788
227,chelak,39.9203,66.8611,30.42,18,1,3.89,UZ,1691504788
228,az zawr,29.4425,48.2747,38.78,38,0,2.85,KW,1691504788
229,rovaniemi,66.5,25.7167,28.67,54,20,9.77,FI,1691504788
230,pauini,-7.7136,-66.9764,30.94,48,99,0.25,BR,1691504789
231,gokarna,14.55,74.3167,26.27,83,100,2.66,IN,1691504789
232,lensk,60.7253,114.9278,20.68,72,25,1.9,RU,1691504789
233,bom jesus da lapa,-13.255,-43.4181,31.17,32,4,2.08,BR,1691504789
234,port-gentil,-0.7193,8.7815,26.98,69,100,6.17,GA,1691504746
235,lagunas,-5.2269,-75.6753,27.84,68,93,1.22,PE,1691504789
236,guerrero negro,27.9769,-114.0611,23.34,84,77,2.91,MX,1691504789
237,mitsamiouli,-11.3847,43.2844,25.48,71,9,4.39,KM,1691504789
238,semera,11.501,41.201,36.41,26,24,2.13,ET,1691504789
239,vredendal,-31.6683,18.5012,22.15,42,0,4.86,ZA,1691504790
240,taltal,-25.4,-70.4833,18.06,65,0,2.66,CL,1691504790
241,tiksi,71.6872,128.8694,9.41,73,10,0.51,RU,1691504790
242,colonia,50.9333,6.95,19.98,62,20,8.23,DE,1691504547
243,chai badan,15.2,101.1333,26.84,79,100,2.09,TH,1691504790
244,nadi,-17.8,177.4167,22.0,88,75,2.06,FJ,1691504790
245,lorengau,-2.0226,147.2712,27.35,79,45,5.25,PG,1691504790
246,whitehorse,60.7161,-135.0538,14.43,84,100,1.54,CA,1691504790
247,lagonoy,13.7342,123.5207,26.24,93,36,1.82,PH,1691504790
248,polyarnyy,69.1989,33.4478,23.62,63,0,6.55,RU,1691504791
249,cachoeira do sul,-30.0392,-52.8939,16.23,62,0,6.18,BR,1691504792
250,uturoa,-16.7333,-151.4333,25.33,78,90,1.7,PF,1691504792
251,torghay,49.6339,63.4981,29.56,31,90,5.43,KZ,1691504792
252,isafjordur,66.0755,-23.124,11.02,76,20,1.03,IS,1691504792
253,yamada,39.4667,141.95,24.86,96,89,4.03,JP,1691504792
254,colon,9.3592,-79.9014,23.84,90,100,3.58,PA,1691504792
255,malabar,-33.9667,151.25,12.66,82,29,2.06,AU,1691504793
256,dalandzadgad,43.5708,104.425,28.49,26,97,4.35,MN,1691504793
257,cabedelo,-6.9811,-34.8339,26.37,74,46,5.58,BR,1691504793
258,carupano,10.6678,-63.2585,31.17,63,1,2.97,VE,1691504793
259,nemuro,43.3236,145.575,17.05,100,100,1.83,JP,1691504793
260,coquimbo,-29.9533,-71.3436,15.85,82,40,1.03,CL,1691504699
261,tortoli,39.9256,9.6572,27.9,54,20,3.09,IT,1691504793
262,dongcun,36.7767,121.1597,22.89,85,1,2.31,CN,1691504793
263,kaohsiung,22.6163,120.3133,27.24,91,75,2.06,TW,1691504793
264,carahue,-38.7,-73.1667,10.2,64,90,1.65,CL,1691504794
265,tabas,33.5959,56.9244,38.87,11,1,6.91,IR,1691504794
266,lascano,-33.6667,-54.2,13.91,59,0,5.4,UY,1691504794
267,quellon,-43.1167,-73.6167,10.14,93,100,1.54,CL,1691504794
268,anadyr,64.75,177.4833,9.28,87,75,5.81,RU,1691504794
269,al bardiyah,31.7561,25.0865,28.77,56,0,8.35,LY,1691504794
270,muisne,0.6,-80.0333,25.82,84,100,4.27,EC,1691504794
271,stiens,53.2623,5.7577,18.88,64,75,10.8,NL,1691504794
272,margate,51.3813,1.3862,17.15,89,100,3.13,GB,1691504795
273,polysayevo,54.6012,86.2459,18.83,48,29,1.82,RU,1691504795
274,isla del bosque,22.7333,-105.85,28.55,79,13,1.2,MX,1691504795
275,avanigadda,16.0215,80.9181,31.64,53,100,0.7,IN,1691504795
276,kuanda,56.3161,116.0806,19.61,57,44,2.5,RU,1691504795
277,kittila,67.6647,24.8936,29.23,54,0,7.2,FI,1691504795
278,angaur state,6.906,134.13,27.86,82,100,8.14,PW,1691504795
279,yima,34.7381,111.8839,24.1,85,2,2.81,CN,1691504795
280,vilyuchinsk,52.9306,158.4028,11.15,69,100,4.01,RU,1691504795
281,trondheim,63.4305,10.3951,18.88,88,91,2.26,NO,1691504769
282,antsiranana,-12.2787,49.2917,24.58,71,12,5.91,MG,1691504796
283,undurkhaan,47.3194,110.6556,15.67,73,2,2.07,MN,1691504796
284,qarazhal,48.0078,70.7903,24.36,53,97,3.79,KZ,1691504796
285,puerto baquerizo moreno,-0.9,-89.6,24.55,83,75,6.69,EC,1691504796
286,dayr hafir,36.1569,37.7078,38.54,24,0,7.25,SY,1691504796
287,labrador city,52.9463,-66.9114,15.95,63,75,4.12,CA,1691504796
288,duba,27.3513,35.6901,34.95,47,0,5.7,SA,1691504796
289,ta`u,-14.2336,-169.5144,27.28,72,87,5.19,AS,1691504797
290,gornopravdinsk,60.05,69.9,22.13,60,49,2.22,RU,1691504797
291,mendeleyevsk,55.9082,52.2905,26.58,63,32,4.71,RU,1691504797
292,aykhal,66.0,111.5,16.9,55,54,3.29,RU,1691504797
293,atafu village,-8.5421,-172.5159,27.86,73,15,5.47,TK,1691504797
294,wynyard,-41.0,145.7167,6.72,91,20,1.97,AU,1691504797
295,mugia,43.1041,-9.2179,27.73,70,0,5.18,ES,1691504797
296,hurricane,37.1753,-113.2899,27.0,20,0,0.89,US,1691504720
297,zhanaozen,43.3,52.8,35.96,16,0,5.25,KZ,1691504797
298,montluel,45.85,5.05,29.35,28,0,3.09,FR,1691504797
299,omutinskiy,56.4745,67.6709,23.85,52,99,1.27,RU,1691504797
300,korla,41.7597,86.1469,28.9,33,1,5.45,CN,1691504797
301,dryden,49.7833,-92.7503,18.16,88,75,3.09,CA,1691504797
302,la foa,-21.7108,165.8276,17.15,75,45,3.92,NC,1691504798
303,luohe,33.5717,114.0353,24.86,88,57,2.68,CN,1691504798
304,vorgashor,67.5833,63.95,13.57,67,100,6.04,RU,1691504798
305,valparaiso,-33.0393,-71.6273,15.0,86,100,1.54,CL,1691504530
306,labytnangi,66.6572,66.4183,18.7,59,100,4.57,RU,1691504798
307,monroe,43.1501,-77.6831,19.06,93,100,6.17,US,1691504737
308,pambujan,12.5642,124.9276,26.99,85,12,4.03,PH,1691504798
309,voinesti,47.0667,27.4167,24.82,43,0,3.09,RO,1691504798
310,yaren,-0.5472,166.916,27.86,72,100,2.71,NR,1691504798
311,san patricio,28.017,-97.5169,31.06,67,0,6.23,US,1691504752
312,wanning,18.8003,110.3967,28.04,79,94,4.75,CN,1691504798
313,pizhou,34.3114,117.9503,23.53,84,97,1.5,CN,1691504799
314,gamay,12.3854,125.2979,26.87,84,11,2.63,PH,1691504799
315,amga,60.8953,131.9608,11.36,84,16,1.18,RU,1691504799
316,hadibu,12.65,54.0333,27.39,68,43,8.66,YE,1691504799
317,port augusta,-32.5,137.7667,9.57,45,0,2.39,AU,1691504799
318,contamana,-7.3333,-75.0167,27.29,72,3,1.05,PE,1691504799
319,kourou,5.1552,-52.6478,31.03,60,21,3.78,GF,1691504799
320,mirnyy,62.5353,113.9611,20.69,52,99,3.13,RU,1691504799
321,iscehisar,38.8619,30.7503,33.48,21,20,4.63,TR,1691504799
322,afaahiti,-17.75,-149.2833,21.93,74,37,5.78,PF,1691504799
323,slave lake,55.2834,-114.769,12.99,76,100,4.63,CA,1691504745
324,codrington,-38.2667,141.9667,6.2,85,79,4.37,AU,1691504800
325,sungai penuh,-2.0833,101.3833,18.76,98,86,0.88,ID,1691504800
326,lospalos,-8.5186,127.0025,19.9,89,24,2.96,TL,1691504800
327,freire,-38.95,-72.6333,4.89,100,91,1.03,CL,1691504800
328,chibougamau,49.9168,-74.3659,14.79,94,100,5.66,CA,1691504800
329,lathen,52.8667,7.3167,19.41,68,83,5.66,DE,1691504800
330,weiser,44.251,-116.9693,13.81,62,6,0.67,US,1691504800
331,kyshtovka,56.555,76.6271,19.53,66,80,1.79,RU,1691504800
332,kismayo,-0.3582,42.5454,25.77,73,5,8.4,SO,1691504801
333,hasaki,35.7333,140.8333,27.95,91,88,5.12,JP,1691504801
334,kalmunai,7.4167,81.8167,30.67,67,98,1.38,LK,1691504801
335,deoli,25.75,75.3833,29.01,65,100,5.67,IN,1691504801
336,lesnoy,57.6198,63.0784,24.38,59,39,1.3,RU,1691504801
337,lukolela,-1.0605,17.1821,30.2,49,83,1.21,CD,1691504801
338,antalaha,-14.9003,50.2788,22.07,85,11,3.81,MG,1691504801
339,preobrazheniye,42.9019,133.9064,18.19,94,100,6.03,RU,1691504801
340,tazovsky,67.4667,78.7,17.9,65,93,3.18,RU,1691504801
341,scranton,41.409,-75.6624,21.46,88,100,6.17,US,1691504801
342,east ballina,-28.8667,153.5833,12.11,79,59,2.95,AU,1691504801
343,namibe,-15.1961,12.1522,20.8,73,8,4.04,AO,1691504801
344,sinop,41.7711,34.8709,24.24,75,66,4.04,TR,1691504802
345,salalah,17.0151,54.0924,27.05,89,100,3.6,OM,1691504802
346,sarangani,5.4033,125.4636,28.24,77,66,6.03,PH,1691504802
347,hithadhoo,-0.6,73.0833,27.98,71,71,2.62,MV,1691504802
348,palmer,42.1584,-72.3287,25.35,78,75,2.57,US,1691504628
349,richards bay,-28.783,32.0377,24.84,48,0,4.27,ZA,1691504802
350,queenstown,-31.8976,26.8753,22.0,21,78,3.91,ZA,1691504802
351,doma,8.3833,8.35,27.78,76,97,2.58,NG,1691504802
352,fort mcmurray,56.7268,-111.381,11.77,93,0,2.57,CA,1691504802
353,simpang,-1.2667,104.0833,24.42,92,66,1.06,ID,1691504802
354,tawau,4.2498,117.8871,27.07,88,12,0.45,MY,1691504803
355,gisborne,-38.6533,178.0042,6.17,86,15,2.53,NZ,1691504803
356,beli,7.8587,10.9719,26.81,86,100,1.92,NG,1691504803
357,villa tecolutilla,18.2833,-93.3167,27.48,78,4,3.8,MX,1691504803
358,kununurra,-15.7667,128.7333,15.99,67,21,0.0,AU,1691504803
359,copala,16.65,-98.9833,28.09,73,0,0.87,MX,1691504803
360,madimba,-10.4,40.3333,26.25,66,0,7.87,TZ,1691504803
361,tual,-5.6667,132.75,26.04,77,37,9.57,ID,1691504803
362,taesal-li,36.9714,126.4542,25.81,84,6,5.75,KR,1691504803
363,santa rosa,14.3122,121.1114,28.99,86,60,3.96,PH,1691504676
